itineraryID,City,itinerary,description-line-1,description-line-2,description-line-3,description-line-4,adults,children-under-7-years,Intensity,currency,budget,day,intro,info,morning,lunch,afternoon,evening,links-morning,links-lunch,links-afternoon,links-evening,poi-morning,poi-lunch,poi-afternoon,poi-evening,metaTITLE,metaDESC,SEO file name,credit,source,number,photographer,agency descrption,caption,imageName
chicago_itinerary_0001_001,Chicago,2 Days in Chicago,Be in awe of Impressionist masterworks at the Art Institute of Chicago,Get a bird’s-eye view of four states from the Skydeck at Willis Tower,Window-shop along the Magnificent Mile,,,,,,,0,"<p>Chicago offers a dizzying array of things to see and do. If you&rsquo;ve only got two days in the city, you&rsquo;ll need to carefully plan your trip. This itinerary focuses on some of the city&rsquo;s key sights and attractions, and offers a whistle-stop tour of Chicago&rsquo;s top spots, including <strong>Willis Tower</strong>, the <strong>Art Institute of Chicago</strong>, and the <strong>Magnificent Mile</strong>.</p>",,"<p>Head to the <strong>Santa Fe Building</strong> to take a Chicago Architecture Foundation tour, which offers a first-hand orientation to the city&rsquo;s landmark architecture. Follow up with a bird&rsquo;s eye view from the Skydeck at <strong>Willis Tower</strong>. Next, head over to <strong>Millennium Park</strong> to see the skyline reflected in the mirrored surface of Anish Kapoor&rsquo;s jellybean-like Cloudscape sculpture, and appreciate the brushed steel headdress of Frank Gehry&rsquo;s J. Pritzker Pavillion.</p>","<p>Enjoy Cuban specialties at <strong>Cafecito</strong>, a favorite with locals. There can be a long line at lunchtime, but the food is worth the wait.</p>","<p>Allow two hours to view the impressionist collection at the <strong>Art Institute of Chicago</strong>. Don&rsquo;t miss Edward Hopper&rsquo;s <em>Nighthawks</em> and Grant Wood&rsquo;s iconic <em>American Gothic</em>. When you&rsquo;re finished, walk south through <strong>Grant Park</strong> for a photo opportunity at <strong>Buckingham Fountain</strong>. Then, make a beeline for <strong>State Street</strong>, entering the theater district as you head north. The State Street Bridge offers terrific views of the Chicago River.</p>",,"Santa Fe Building, Willis Tower, Millennium Park",Cafecito,"Art Institute of Chicago, Grant Park, Buckingham Fountain, State Street",,"chicago_sight_0651, chicago_sight_0786",chicago_sight_0118,"chicago_sight_0701, chicago_sight_0290, chicago_sight_0096, chicago_sight_0686",,2 Days in Chicago | 48 Hours in Chicago | DK Trip Planner Itinerary,2 Days in Chicago. Visit the Art Institute of Chicago and take in the superb view from the Willis Tower Skydeck with this curated 3-day DK itinerary.,2_days_chicago_chicago_dreamstime_30097439.jpg,&#169;Dreamstime.com/Sombra12,Dreamstime,30097439,Sombra12,View of skyscrapers from Willis Tower in Chicago,,
chicago_itinerary_0001_002,Chicago,2 Days in Chicago,Be in awe of Impressionist masterworks at the Art Institute of Chicago,Get a bird’s-eye view of four states from the Skydeck at Willis Tower,Window-shop along the Magnificent Mile,,,,,,,1,,,"<p>Start by crossing <strong>Michigan Avenue Bridge</strong>, which links the Loop with the Magnificent Mile. As you pass the <strong>Tribune Tower</strong>, notice the architectural artifacts &ndash; including fragments from the Taj Mahal, the Parthenon, and the Great Pyramid &ndash; built into the Neo-Gothic facade. Head east on Grand Street to <strong>Navy Pier</strong>. With a five-story Ferris wheel, an IMAX theater, and several shops and restaurants, Navy Pier is one of Chicago&rsquo;s most popular tourist destinations and a great place to spend a couple of hours.</p>",<p>Head to Lower Michigan Avenue for lunch at the <strong>Billy Goat Tavern</strong>. Their classic cheeseburger is a must!</p>,"<p>After lunch, window-shop along the <strong>Magnificent Mile</strong>. Look out for the castle-like <strong>Water Tower and Pumping Station</strong>, the only downtown Chicago buildings to predate the Great Chicago Fire (1871). North of the Water Tower, the serene <strong>Fourth Presbyterian Church</strong> is the second oldest surviving building on Michigan Avenue. Across the street, visit the <strong>John Hancock Center</strong> &ndash; it competes with Willis Tower for the best panoramic views of the city. The elevator ride to the observatory at the top is said to be one of the fasted in North America. The views are particularly dazzling in the late afternoon sun.</p>",,"Michigan Avenue Bridge, Tribune Tower, Navy Pier",Billy Goat Tavern,"Magnificent Mile, Chicago Water Tower and Pumping Station, Fourth Presbyterian Church, John Hancock Center",,"chicago_sight_0464, chicago_sight_0740, chicago_sight_0514",chicago_sight_0069,"chicago_sight_0433, chicago_sight_0159, chicago_sight_0245, chicago_sight_0366",,2 Days in Chicago | 48 Hours in Chicago | DK Trip Planner Itinerary,2 Days in Chicago. Visit the Art Institute of Chicago and take in the superb view from the Willis Tower Skydeck with this curated 3-day DK itinerary.,2_days_chicago_chicago_dreamstime_30097439.jpg,&#169;Dreamstime.com/Sombra12,Dreamstime,30097439,,,,
chicago_itinerary_0002_001,Chicago,3 Days in Chicago,Explore the collections of the world-class museums at the Museum Campus,Sample dim sum in Chicago’s Chinatown,Cruise the Chicago River and soak in landmark architecture,,,,,,,0,"<p>Three days in Chicago allows you to see a variety of sights and attractions. This carefully planned itinerary combines some of the city&rsquo;s top museums and galleries with selected historic buildings, urban parks, and plenty of spots to find great food and drink. From the <strong>Navy Pier </strong>to the<strong> Field Museum</strong>, this itinerary will help you plan a perfect trip.</p>",,"<p>Explore the impressive collections at the <strong>Art Institute of Chicago</strong>. Plan two hours to take in the impressionist collection and the new modern art wing. Afterwards, check out the cool contemporary art in <strong>Millennium Park</strong>, including the Pritzker Pavillion with Frank Gehry&rsquo;s sweeping bandshell, the reflective Cloudscape, and Juan Plensa&rsquo;s Crown fountain.</p>",<p>Remain in the Millennium Park and have lunch at <strong>Park Grill</strong>. Its prime location in the heart of the park and creative menu have made it one of the Loop&rsquo;s most buzzing restaurants.</p>,"<p>Head to the <strong>Santa Fe Building</strong> to pick up tickets for a two-hour Chicago River Architecture tour. Then sit back and take in the landmark buildings as you float by. Back on dry land, stroll <strong>State Street</strong> and check out the marquee at the landmark <strong>Chicago Theater</strong>. The State Street Bridge offers terrific skyline vistas.</p>",,"Art Institute of Chicago, Millennium Park",Park Grill,"Santa Fe Building, State Street, Chicago Theater",,chicago_sight_0701,chicago_sight_0564,"chicago_sight_0651, chicago_sight_0686, chicago_sight_0156",,3 Days in Chicago | 72 Hours in Chicago | DK Trip Planner Itinerary,"3 Days in Chicago. Explore Chicago’s world-class museums and top attractions with this curated 3-day DK itinerary, or create, edit and personalise your own.",3_days_chicago_chicago_adler_planetarium.jpg,&#169;Adler Planetarium,Adler Planetarium,,,,,
chicago_itinerary_0002_002,Chicago,3 Days in Chicago,Explore the collections of the world-class museums at the Museum Campus,Sample dim sum in Chicago’s Chinatown,Cruise the Chicago River and soak in landmark architecture,,,,,,,1,,,"<p>Begin the day by enjoying breathtaking views of four states from the <strong>Willis Tower</strong> Skydeck. After coming back down to earth, wander across to the <strong>Printing House Row Historic District</strong>. Several noteworthy buildings line South Dearborn Street, including the Rowe Building, which houses the Sandmeyer&rsquo;s bookstore. Afterwards, make your way to <strong>Chinatown</strong> and browse the Asian grocery and herbal shops.</p>","<p>Stay in Chinatown for lunch and enjoy dim sum at <strong>Phoenix</strong>. The menu is extensive, with more than 50 varieties of dim sum to choose from.</p>","<p>The museum campus houses three of Chicago&rsquo;s cultural gems: the <strong>Field Museum</strong>, the <strong>John G. Shedd Aquarium</strong>, and the <strong>Adler Planetarium</strong>. After spending a few hours at the museum of your choice, enjoy the splendid harbor views from the campus lawn. At sunset, catch the sound and light show at <strong>Buckingham Fountain</strong>.</p>",,"Willis Tower, Printing House Row Historic District, Chinatown",Phoenix,"Field Museum, John G. Shedd Aquarium, Adler Planetarium, Buckingham Fountain",,"chicago_sight_0786, chicago_sight_0592, chicago_sight_0164",chicago_sight_0571,"chicago_sight_0228, chicago_sight_0360, chicago_sight_0015, chicago_sight_0096",,3 Days in Chicago | 72 Hours in Chicago | DK Trip Planner Itinerary,"3 Days in Chicago. Explore Chicago’s world-class museums and top attractions with this curated 3-day DK itinerary, or create, edit and personalise your own.",3_days_chicago_chicago_adler_planetarium.jpg,&#169;Adler Planetarium,Adler Planetarium,,,,,
chicago_itinerary_0002_003,Chicago,3 Days in Chicago,Explore the collections of the world-class museums at the Museum Campus,Sample dim sum in Chicago’s Chinatown,Cruise the Chicago River and soak in landmark architecture,,,,,,,2,,,"<p>Meander up the <strong>Magnificent Mile</strong>, taking in the fascinating facade of the <strong>Tribune Tower</strong> as you pass. Enjoy the castle-like Neo-Gothic architecture of the historic <strong>Water Tower and Pumping Station</strong> and then browse the fashionable <strong>Oak Street</strong> boutiques. Next, enjoy the fine views from the observation deck of the <strong>John Hancock Center</strong>.</p>","<p>Enjoy French-Vietnamese cuisine at <strong>Le Colonial</strong>, an elegant upscale restaurant with rattan chairs, ceiling fans, and lush foliage.</p>","<p>Spend the afternoon exploring the attractions at <strong>Navy Pier</strong>. If traveling with children, be sure to visit the hands-on <strong>Chicago Children&rsquo;s Museum</strong>. If not, catch a movie at the IMAX theater or take a Lake Michigan boat tour.</p>",,"Magnificent Mile, Tribune Tower, Chicago Water Tower and Pumping Station, Oak Street, John Hancock Center",Le Colonial,"Navy Pier, Chicago Children’s Museum",,"chicago_sight_0433, chicago_sight_0740, chicago_sight_0159, chicago_sight_0538, chicago_sight_0366",chicago_sight_0398,"chicago_sight_0514, chicago_sight_0139",,3 Days in Chicago | 72 Hours in Chicago | DK Trip Planner Itinerary,"3 Days in Chicago. Explore Chicago’s world-class museums and top attractions with this curated 3-day DK itinerary, or create, edit and personalise your own.",3_days_chicago_chicago_adler_planetarium.jpg,&#169;Adler Planetarium,Adler Planetarium,,,,,
chicago_itinerary_0003_001,Chicago,5 Days in Chicago,Take in the grand spectacle of Buckingham Fountain’s light show,Admire public art in the Millennium Park,Discover the University of Chicago’s myriad cultural attractions,Tour a captured U-Boat at the Museum of Science and Industry,,,,,,0,"<p>If you&rsquo;re wondering how best to spend your trip to Chicago, this comprehensive five-day itinerary offers our selection of the best museums, galleries, shops, parks, and historic spots across the city. Combining Chicago&rsquo;s key sights and attractions with some more unusual picks, as well as a variety of restaurants, bars, and shopping opportunities, it ensures you won&rsquo;t miss a thing during your time in the city. Highlights include <strong>Willis Tower</strong>, the <strong>Navy Pier</strong>, <strong>Magnificent Mile</strong>, and <strong>Lincoln Park Zoo</strong>.</p>",*3 Adler Planetarium,"<p>Start out at <strong>Navy Pier</strong>, browsing the shops and tourist attractions, before enjoying hands-on fun at the <strong>Chicago Children&rsquo;s Museum</strong> or catching an IMAX movie. With or without kids, a Lake Michigan boat excursion is a great eye-opener.</p>",<p>Wander over to Lower Michigan Avenue for lunch at the <strong>Billy Goat Tavern</strong>. Their classic cheeseburger is delicious.</p>,"<p>Head up to <strong>Michigan Avenue Bridge</strong> and then stroll the <strong>Magnificent Mile</strong>. Pass the <strong>Wrigley Building</strong> and <strong>Tribune Tower</strong> (taking in the tower&rsquo;s funky facade), and head towards the historic <strong>Water Tower and Pumping Station</strong> &ndash; the only downtown buildings to survive the Chicago Fire. Round off the day with a visit to <strong>Water Tower Place</strong> &ndash; this shopping mall has a fabulous food court and over 100 shops.</p>",,"Navy Pier, Chicago Children’s Museum",Billy Goat Tavern,"Michigan Avenue Bridge, Magnificent Mile, Wrigley Building, Tribune Tower, Chicago Water Tower and Pumping Station, Water Tower Place",,"chicago_sight_0514, chicago_sight_0139",chicago_sight_0069,"chicago_sight_0464, chicago_sight_0433, chicago_sight_0794, chicago_sight_0740, chicago_sight_0159, chicago_sight_0830",,5 Days in Chicago | DK Trip Planner Itinerary,"5 Days in Chicago. Explore Chicago’s top attractions, including Millennium Park and the Field Museum, with this specially curated 5-day DK itinerary.",5_days_chicago_chicago_dreamstime_20520623.jpg,&#169;Dreamstime.com/Rsusanto,Dreamstime,20520623,Rsusanto,"Night photography of the Buckingham Fountain in downtown Chicago, Illinois.",,
chicago_itinerary_0003_002,Chicago,5 Days in Chicago,Take in the grand spectacle of Buckingham Fountain’s light show,Admire public art in the Millennium Park,Discover the University of Chicago’s myriad cultural attractions,Tour a captured U-Boat at the Museum of Science and Industry,,,,,,1,,*3 Buckingham Fountain glow 44248,"<p>Head to the <strong>Santa Fe Building</strong> to buy tickets for a two-hour Chicago Architecture Foundation walking, Segway, or river tour, where you will learn all about Chicago&rsquo;s architecture. Afterward, visit Anish Kapoor&rsquo;s jellybean-like Cloudscape sculpture and the other cool public art in <strong>Millennium Park</strong>, before heading south to take in the grand spectacle of <strong>Buckingham Fountain</strong>.</p>","<p><strong>Mercat a la Planxa</strong>, with its sweeping views over Grant Park, offers Catalan-styled tapas as well as a variety of grilled meats and seafood for lunch. There&rsquo;s a good wine list, too.</p>","<p>Spend at least two hours at the <strong>Art Institute of Chicago</strong>, exploring the Impressionist galleries and modern wing. Then, detour to see the Picasso sculpture at <strong>Daley Plaza</strong>, and the futuristic <strong>James R. Thompson Center</strong> (originally called the State of Illinois Center) before heading over to <strong>State Street</strong> for some retail therapy. At dusk, ascend <strong>Willis Tower</strong> for an unforgettable sunset view.</p>",,"Santa Fe Building, Millennium Park, Buckingham Fountain",Mercat a la Planxa,"Art Institute of Chicago, Daley Plaza, James R. Thompson Center, State Street, Willis Tower",,"chicago_sight_0651, chicago_sight_0096",chicago_sight_0459,"chicago_sight_0701, chicago_sight_0186, chicago_sight_0346, chicago_sight_0686, chicago_sight_0786",,5 Days in Chicago | DK Trip Planner Itinerary,"5 Days in Chicago. Explore Chicago’s top attractions, including Millennium Park and the Field Museum, with this specially curated 5-day DK itinerary.",5_days_chicago_chicago_dreamstime_20520623.jpg,&#169;Dreamstime.com/Rsusanto,Dreamstime,20520623,,,,
chicago_itinerary_0003_003,Chicago,5 Days in Chicago,Take in the grand spectacle of Buckingham Fountain’s light show,Admire public art in the Millennium Park,Discover the University of Chicago’s myriad cultural attractions,Tour a captured U-Boat at the Museum of Science and Industry,,,,,,2,,,"<p>With acres of exhibits and a petting zoo, a few hours at the <strong>Lincoln Park Zoo</strong> is a great way to start the day. Nearby, the <strong>Lincoln Park Conservatory</strong> offers thousands of botanical specimens and the <strong>Peggy Notebaert Nature Museum</strong>&rsquo;s butterfly exhibit dazzles.</p>","<p>Sample creative sandwiches, soups, and salads, made with fresh seasonal ingredients at <strong>North Pond</strong>. The caf&eacute; is housed in an Arts-and-Crafts-style building in leafy Lincoln Park.</p>","<p>The <strong>Chicago History Museum</strong> presents a sweeping overview of the city&rsquo;s turbulent history, and is close to the site (on Clark Street) of the notorious gangland St. Valentine&rsquo;s Day massacre in 1929. Sports fans may want to continue north to historic <strong>Wrigley Field</strong>.</p>",,"Lincoln Park Zoo, Lincoln Park Conservatory, Peggy Notebaert Nature Museum",North Pond,"Chicago History Museum, Wrigley Field",,"chicago_sight_0404, chicago_sight_0403, chicago_sight_0569",chicago_sight_0530,"chicago_sight_0150, chicago_sight_0795",,5 Days in Chicago | DK Trip Planner Itinerary,"5 Days in Chicago. Explore Chicago’s top attractions, including Millennium Park and the Field Museum, with this specially curated 5-day DK itinerary.",5_days_chicago_chicago_dreamstime_20520623.jpg,&#169;Dreamstime.com/Rsusanto,Dreamstime,20520623,,,,
chicago_itinerary_0003_004,Chicago,5 Days in Chicago,Take in the grand spectacle of Buckingham Fountain’s light show,Admire public art in the Millennium Park,Discover the University of Chicago’s myriad cultural attractions,Tour a captured U-Boat at the Museum of Science and Industry,,,,,,3,,,"<p>Take a pleasant stroll around the <strong>University of Chicago</strong> campus, looking out for Frank Lloyd Wright&rsquo;s <strong>Robie House</strong>, an excellent example of Prairie School architecture. Visit the <strong>Oriental Institute Museum</strong> to see remnants from ancient civilizations and the <strong>Smart Museum of Art</strong> for master artworks. The <strong>Rockefeller Memorial Chapel</strong> boasts the second largest bell tower in the world.</p>",<p>Eat delicious pizza for lunch at <strong>Medici on 57th</strong>.</p>,"<p>Plan two hours to explore the <strong>Museum of Science and Industry</strong>. The collection includes a U-Boat submarine, the Apollo 8 command module, and a fairy castle dollhouse. Afterwards, enjoy the expansive skyline from <strong>Jackson Park</strong>, site of the 1893 World&rsquo;s Fair.</p>",,"University of Chicago, Robie House, Oriental Institute Museum, Smart Museum of Art, Rockefeller Memorial Chapel",Medici on 57th,"Museum of Science and Industry, Jackson Park",,"chicago_sight_0760, chicago_sight_0631, chicago_sight_0551, chicago_sight_0667, chicago_sight_0635",chicago_sight_0451,"chicago_sight_0501, chicago_sight_0343",,5 Days in Chicago | DK Trip Planner Itinerary,"5 Days in Chicago. Explore Chicago’s top attractions, including Millennium Park and the Field Museum, with this specially curated 5-day DK itinerary.",5_days_chicago_chicago_dreamstime_20520623.jpg,&#169;Dreamstime.com/Rsusanto,Dreamstime,20520623,,,,
chicago_itinerary_0003_005,Chicago,5 Days in Chicago,Take in the grand spectacle of Buckingham Fountain’s light show,Admire public art in the Millennium Park,Discover the University of Chicago’s myriad cultural attractions,Tour a captured U-Boat at the Museum of Science and Industry,,,,,,4,,,"<p>The Museum Campus is home to three world class museums, all within close proximity of each other. Take your pick between the <strong>Field Museum</strong>&rsquo;s dinosaurs, <strong>John G. Shedd Aquarium</strong>&rsquo;s aquatic life, or the <strong>Adler Planetarium</strong>&rsquo;s starscapes. Each one could easily take up a morning or if you have the Chicago CityPass take a whirlwind tour of all three, focusing on the highlights.</p>",<p>Head to <strong>Coast Sushi</strong> for a dynamic menu of small plates and specialty <em>maki</em> and <em>nigiri</em>.</p>,"<p>Golden-age industrialists made their homes in the <strong>Prairie Avenue Historic District</strong>, and a tour of the <strong>Clarke House Museum</strong> or <strong>Glessner House</strong> offers an insight into that era. A short stroll away, Chicago&rsquo;s <strong>Chinatown</strong> is the largest in the Midwest. Browse the shops and stay for dinner.</p>",,"Field Museum, John G. Shedd Aquarium, Adler Planetarium",South Coast Sushi Bar,"Prairie Avenue Historic District, Clarke House Museum, Glessner House, Chinatown",,"chicago_sight_0228, chicago_sight_0360, chicago_sight_0015",chicago_sight_0669,"chicago_sight_0593, chicago_sight_0311, chicago_sight_0282, chicago_sight_0164",,5 Days in Chicago | DK Trip Planner Itinerary,"5 Days in Chicago. Explore Chicago’s top attractions, including Millennium Park and the Field Museum, with this specially curated 5-day DK itinerary.",5_days_chicago_chicago_dreamstime_20520623.jpg,&#169;Dreamstime.com/Rsusanto,Dreamstime,20520623,,,,
